City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Hithadhoo,MV,81.36,overcast clouds,-0.6,73.0833,Pebbles Inn
Atuona,PF,77.81,few clouds,-9.8,-139.0333,Pearl Resort
Saint-Philippe,RE,80.19,scattered clouds,-21.3585,55.7679,Le Baril
Port Elizabeth,ZA,71.31,clear sky,-33.918,25.5701,Waterford Hotel
Bubaque,GW,80.04,overcast clouds,11.2833,-15.8333,Chez Julio
Rikitea,PF,72.18,broken clouds,-23.1203,-134.9692,Chez Bianca & Benoit
Georgetown,MY,87.73,few clouds,5.4112,100.3354,Page 63 hostel
Oussouye,SN,74.01,broken clouds,12.485,-16.5469,Campement Alulum
Victoria,HK,76.96,broken clouds,22.2855,114.1577,四季酒店 Four Seasons Hotel
Isangel,VU,85.46,scattered clouds,-19.55,169.2667,Tanna Lodge
Saint-Pierre,RE,81.91,clear sky,-21.3393,55.4781,Tropic Hotel
Mogadishu,SO,80.71,broken clouds,2.0371,45.3438,SYL Hotel
Itaituba,BR,72.54,broken clouds,-4.2761,-55.9836,TG Hotel
Berbera,SO,76.32,clear sky,10.4396,45.0143,Al Madina Hotel
Cidreira,BR,70.38,broken clouds,-30.1811,-50.2056,Hotel Castelo
Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti International Resort
Weligama,LK,82.2,broken clouds,5.9667,80.4167,Basecamp
Sibolga,ID,84.61,broken clouds,1.7427,98.7792,Hotel Prima Indah
Hilo,US,79.29,overcast clouds,19.7297,-155.09,Dolphin Bay Hotel
Geraldton,AU,75.61,scattered clouds,-28.7667,114.6,Ocean Centre Hotel
Marawi,PH,78.17,light rain,7.9986,124.2928,Marawi Resort Hotel
Takoradi,GH,77.54,light rain,4.8845,-1.7554,Hillcrest
Maceio,BR,74.64,moderate rain,-9.6658,-35.7353,Maceió Hostel e Pousada
Esperance,AU,78.12,overcast clouds,-33.8667,121.9,Best Western
Kapaa,US,79.12,clear sky,22.0752,-159.319,Pono Kai Resort
Bengkulu,ID,83.61,overcast clouds,-3.8004,102.2655,Dena Hotel
Mahebourg,MU,80.26,scattered clouds,-20.4081,57.7,Grand Bel Air
Queanbeyan,AU,76.37,clear sky,-35.35,149.2333,Tourist Hotel
Domoni,KM,78.69,few clouds,-12.2569,44.5319,Hotel Djadid
Koumac,NC,87.91,broken clouds,-20.5667,164.2833,Monitel Koumac
Makasar,ID,86.05,scattered clouds,-5.14,119.4221,Pondok Dahlia House
Puerto Escondido,MX,78.49,light rain,15.85,-97.0667,Hotel Barlovento
Quatre Cocos,MU,80.1,overcast clouds,-20.2078,57.7625,Horisun
Venice,US,72.0,clear sky,27.0998,-82.4543,El Patio
Kavieng,PG,85.01,overcast clouds,-2.5744,150.7967,Kavieng Hotel
Morgan City,US,77.0,overcast clouds,29.6994,-91.2068,Holiday Inn Express & Suites Morgan City - Tiger Island
Sambava,MG,75.22,clear sky,-14.2667,50.1667,Royal Sava Hôtel
Abu Dhabi,AE,73.96,broken clouds,24.4667,54.3667,Marriott Downtown Abu-Dhabi
Launceston,AU,73.04,scattered clouds,-41.45,147.1667,Hotel Charles
Palu,ID,84.78,overcast clouds,-0.8917,119.8707,Ujung Pandang Hotel
Veraval,IN,78.04,clear sky,20.9,70.3667,Shyam
Ambilobe,MG,79.43,few clouds,-13.2,49.05,Hôtel National
Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
Makakilo City,US,79.12,clear sky,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
El Estor,GT,72.46,scattered clouds,15.5333,-89.35,Hotel
Sao Felix Do Xingu,BR,70.77,light rain,-6.6447,-51.995,Hotel Terraço
Vavoua,CI,71.58,broken clouds,7.3819,-6.4778,Hôtel Sougoun
Yeppoon,AU,73.18,overcast clouds,-23.1333,150.7333,Blossom's on Seaspray
Salalah,OM,75.29,few clouds,17.0151,54.0924,Muscat International Hotel
Sur,OM,78.58,clear sky,22.5667,59.5289,Sur Hotel
Vila Velha,BR,75.15,overcast clouds,-20.3297,-40.2925,Hotel Prainha
Port Hedland,AU,89.65,few clouds,-20.3167,118.5667,The Esplanade Hotel
Sao Filipe,CV,73.96,few clouds,14.8961,-24.4956,Bela Vista
San Cosme Y Damian,PY,78.98,clear sky,-27.3167,-56.35,Posada Alex
Nieuw Nickerie,SR,77.49,overcast clouds,5.95,-56.9833,Hotel Pak Hap
Ndjole,GA,72.86,overcast clouds,-0.1783,10.7649,Motel Kedyann
Paracuru,BR,80.11,overcast clouds,-3.41,-39.0306,Pousada Sol e Lua
Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
Celestun,MX,79.45,broken clouds,20.8667,-90.4,Hotel Flamingo Playa
Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
Alice Springs,AU,81.95,clear sky,-23.7,133.8833,Aurora Alice Springs
Champerico,GT,75.99,broken clouds,14.3,-91.9167,Hotel y Restaurante El Submarino
Bogo,PH,85.89,overcast clouds,11.0517,124.0055,R&F Function
Sao Jose Da Coroa Grande,BR,75.02,moderate rain,-8.8978,-35.1478,Hotel do Sol
Tutoia,BR,75.78,overcast clouds,-2.7619,-42.2744,Pousada San Vicente
Kota Kinabalu,MY,87.78,few clouds,5.9749,116.0724,Hotel Cititel Express
Padang,ID,84.25,overcast clouds,-0.9492,100.3543,losmen Surya
Pemangkat,ID,84.4,overcast clouds,1.1667,108.9667,Hotel Kelapa Gading
Meulaboh,ID,81.16,overcast clouds,4.1363,96.1285,Hotel Meuligou
Bajil,YE,75.38,clear sky,15.0584,43.2851,فندق و أجنحة الشرق الأوسط
Faanui,PF,79.68,few clouds,-16.4833,-151.75,Oa Oa Lodge
Along,IN,73.04,clear sky,28.1667,94.7667,Hotel Toshi Palace
Touros,BR,77.25,broken clouds,-5.1989,-35.4608,Pousada Atlântico
Quelimane,MZ,71.55,light rain,-17.8786,36.8883,Mabassa
Lorengau,PG,84.92,broken clouds,-2.0226,147.2712,Seeadler Bay Hotel
Boa Vista,BR,76.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
Yulara,AU,85.75,clear sky,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
Cayenne,GF,73.44,overcast clouds,4.9333,-52.3333,Central Hôtel
Nauta,PE,73.62,overcast clouds,-4.5061,-73.5757,Hostal Henry
Sokoni,TZ,78.84,light rain,-6.4333,39.55,La Madrugada Beach Hotel
Marsh Harbour,BS,77.18,broken clouds,26.5412,-77.0636,Lofty Fig Villas
Kismayo,SO,81.43,overcast clouds,-0.3582,42.5454,Kismayo Hotel
Banda Aceh,ID,84.81,overcast clouds,5.5577,95.3222,Hotel 61
Akyab,MM,85.68,clear sky,20.15,92.9,Yuzana Aung Motel 1
Miramar,US,80.02,scattered clouds,25.9873,-80.2323,El Palacio Sports Hotel
Pemba,MZ,78.84,light rain,-12.974,40.5178,Hotel Rafael
Almeirim,BR,73.98,light rain,-1.5233,-52.5817,Kapejar Hotel
Mackay,AU,75.6,overcast clouds,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
Pochutla,MX,75.02,overcast clouds,15.7432,-96.4661,Hotel El Patio
Natal,BR,79.45,few clouds,-5.795,-35.2094,Natal Palace Hotel
Hirara,JP,73.26,broken clouds,24.8,125.2833,古謝そば屋
Caravelas,BR,75.0,light rain,-17.7125,-39.2481,Pousada dos Navegantes
Broken Hill,AU,79.03,clear sky,-31.95,141.4333,Ibis Styles
Hambantota,LK,84.54,scattered clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
Axim,GH,77.07,broken clouds,4.8699,-2.2405,Axim Beach Hotel
Bowen,AU,79.5,overcast clouds,-20.0167,148.2333,Whitsunday Sands Resort
Cairns,AU,84.15,light rain,-16.9167,145.7667,Cairns Queens Court Accommodation
Richards Bay,ZA,71.64,clear sky,-28.783,32.0377,Protea Hotel
Sassandra,CI,75.07,light rain,4.95,-6.0833,Hotel Le Pollet
Gundlupet,IN,75.33,scattered clouds,11.8,76.6833,Khushi Resort
Mabaruma,GY,71.74,overcast clouds,8.2,-59.7833,Monty Brooms Hotel
Puerto Carreno,CO,73.4,broken clouds,6.189,-67.4859,Carreño Plaza
Voi,KE,72.77,overcast clouds,-3.3945,38.563,Fine Breeze Hotel
Teahupoo,PF,76.96,light rain,-17.8333,-149.2667,Vanira Lodge
Tagusao,PH,86.07,overcast clouds,9.1924,117.8141,"Shaman's Breath- Beach, Bed & Breakfast"
Santa Isabel Do Rio Negro,BR,72.95,broken clouds,-0.4139,-65.0192,Hotel Maikon
Beira,MZ,73.49,few clouds,-19.8436,34.8389,Hotel Savoy
Inirida,CO,72.03,overcast clouds,3.8653,-67.9239,Residencias El Turista del Guainia
Corumba,BR,74.73,scattered clouds,-19.0092,-57.6533,Hotel El Shadday
Tabou,CI,75.97,light rain,4.423,-7.3528,hôtel le rochet
Sao Borja,BR,74.95,clear sky,-28.6606,-56.0044,Hotel Obino
Ankazobe,MG,72.5,scattered clouds,-18.3167,47.1167,Promenade Annexe
Tumut,AU,73.78,clear sky,-35.3,148.2167,Star Hotel
Kanniyakumari,IN,81.72,few clouds,8.0833,77.5667,The Seashore Hotel
Gambela,ET,77.5,overcast clouds,8.25,34.5833,Grand Hotel
Praya,CV,72.14,few clouds,14.9215,-23.5087,Casa Sodadi
Kampot,KH,86.05,broken clouds,10.6167,104.1833,Sambor Sambat Guesthouse
Lazaro Cardenas,MX,75.11,few clouds,17.9583,-102.2,Hotel Sol del Pacífico
Ikom,NG,70.57,broken clouds,5.9667,8.7063,Gold Palm Hotels
Puerto Leguizamo,CO,72.14,broken clouds,-0.1934,-74.7819,Hotel Girasoles
Port-Gentil,GA,75.92,light rain,-0.7193,8.7815,Tara-Mé
Lucea,JM,78.66,clear sky,18.451,-78.1736,Blue Paloma Bed And Breakfast
Sao Gabriel Da Cachoeira,BR,72.34,overcast clouds,-0.1303,-67.0892,Casa de Hóspedes do CFRN/5ºBIS
Oistins,BB,78.89,scattered clouds,13.0667,-59.5333,The Abidah By Accra
Tual,ID,80.37,moderate rain,-5.6667,132.75,Suita
Poco Verde,BR,74.07,light rain,-10.7083,-38.1833,Hotel Santa Cruz
Cirebon,ID,89.19,overcast clouds,-6.7063,108.557,Amaris Hotel Cirebon
Aransas Pass,US,70.99,fog,27.9095,-97.15,Microtel Inn & Suites
Punto Fijo,VE,79.03,broken clouds,11.6956,-70.1996,Hotel Caribe
Sabang,ID,81.75,light rain,5.8933,95.3214,Sabang Hill
Grand Gaube,MU,80.38,overcast clouds,-20.0064,57.6608,Coco Villa
Monywa,MM,85.77,clear sky,22.1167,95.1333,Hotel Chindwin
Upata,VE,71.19,broken clouds,8.0086,-62.3989,Hotel Garibardi
Vinh,VN,82.72,scattered clouds,18.6667,105.6667,Gold Vinh Hotel
Manokwari,ID,82.04,broken clouds,-0.8667,134.0833,Hotel Arfak
Antalaha,MG,79.2,clear sky,-14.9003,50.2788,Hôtel Florida
Sinnamary,GF,75.76,overcast clouds,5.3833,-52.95,Hôtel du fleuve
Torres,BR,71.83,overcast clouds,-29.3353,-49.7269,Residencial Medusa
San Miguel,SV,70.79,broken clouds,13.4833,-88.1833,Continental Plaza Hotel
Diamantino,BR,73.89,few clouds,-14.4086,-56.4461,Hotel kayaby
Vanimo,PG,84.6,overcast clouds,-2.6741,141.3028,CBC Guesthouse
Kerema,PG,85.37,scattered clouds,-7.9631,145.7785,Kerema Hotel
Acapulco,MX,76.82,smoke,16.8634,-99.8901,Hotel del Valle
San Juan Del Sur,NI,77.29,overcast clouds,11.2529,-85.8705,Hotel Colonial
Eyl,SO,79.11,clear sky,7.9803,49.8164,فندق ايل دابي
Presidencia Roque Saenz Pena,AR,72.18,clear sky,-26.7852,-60.4388,Hotel Presidente
